"","nMissDetYr","nMissDetYrLci","nMissDetYrUci","nMissSum","nMissSumLci","nMissSumUci"
"0-23",59.690552265642,2.57008204063989,274.276475201369,596.688260186227,25.4835579362062,2742.54748954349
"24-29",16.9683498352189,0.730602239642753,77.9691091158897,169.629485828963,7.25200987320246,779.637078635671
"30-35",15.9824361835296,0.68815198790858,73.4388625194967,159.774337985448,6.83149602923851,734.338601345118
"36-47",6.24521527772724,0.268898762299699,28.6965954951421,62.444920677088,2.68175552281263,286.958722851236
"48-59",4.25796264789913,0.183334094185958,19.5652233440146,42.593467002713,1.8471814655813,195.666073963867
"60-71",3.30305026891131,0.142218656943907,15.1774267582274,33.0696659056134,1.46134978593947,151.813430798774
"72-83",2.21038884200118,0.0951721914110678,10.1566770183408,22.168357753512,1.01619124761097,101.631239516909
"84-95",1.27836809729892,0.0550423938712004,5.87406687370941,12.866329149227,0.633072114949842,58.8233169133319
"96-107",0.668418659489382,0.0287799446843294,3.07136568393082,6.77492812392465,0.37854097587413,30.804398368339
"108-119",0.311232880722558,0.0134006807918593,1.43010667938629,3.19830005056829,0.219978051261303,14.3870380372056
"120-131",0.130177346328525,0.00560501531981435,0.598161389815243,1.37563519604827,0.129911885961158,6.05547563091544
"132-143",0.0547706665934706,0.00235824768280421,0.251669733441775,0.611521466919929,0.0873972778132655,2.58051213540297
"144-155",0.0266800076140561,0.00114875479971878,0.122593914262393,0.334124831710521,0.0788123035671479,1.29326389819389
"156-167",0.0138595895486173,0.000596749080675615,0.0636844395778953,0.201792388925613,0.0691639842461962,0.700040889218393
"168-179",0.00352345185196226,0.000151708435959638,0.0161901660784969,0.0634075199433086,0.0296900857832823,0.190074662208655
"180-191",0.000206744047647139,8.90172973274627e-06,0.000949983314028755,0.00548148311012779,0.00350305993098386,0.0129138757739439
"192-203",1.72631031411478e-05,7.43293363266738e-07,7.93234925942726e-05,0.00074386887060412,0.000578670772825309,0.00136447276513537
"204-",1.42374151142238e-06,6.13017027005522e-08,6.54205378454125e-06,0.000122325924032833,0.000108701525945615,0.000173509046764022
"p1",3.27076522623316e-07,1.40828567470466e-08,1.50290778592579e-06,4.51784968776519e-05,4.20485602188892e-05,5.69368095106766e-05
"p2",0,0,0,0,0,0
"p3",0,0,0,0,0,0
"p4",0,0,0,0,0,0
"p5",0,0,0,0,0,0
"p6",0,0,0,0,0,0
