"","2002 Base","2002 lci","2002 uci","2003 Base","2003 lci","2003 uci","2004 Base","2004 lci","2004 uci","2005 Base","2005 lci","2005 uci","2006 Base","2006 lci","2006 uci","2007 Base","2007 lci","2007 uci","2008 Base","2008 lci","2008 uci","2009 Base","2009 lci","2009 uci","2010 Base","2010 lci","2010 uci","2011 Base","2011 lci","2011 uci","2012 Base","2012 lci","2012 uci"
"0-23",3,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-29",14,9,21,8,5,12,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-35",15,9,22,11,7,16,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36-47",45,33,58,35,24,47,0,0,0,5,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48-59",87,69,106,40,29,54,0,0,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"60-71",122,101,145,62,48,78,23,17,29,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"72-83",184,159,212,94,76,114,49,36,64,0,0,0,2,0,6,2,0,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,NA
"84-95",237,207,269,132,110,155,63,49,80,0,0,0,1,0,4,2,0,6,1,0,3,1,0,4,0,0,0,0,0,0,0,0,NA
"96-107",247,217,279,164,139,190,95,77,115,23,17,29,1,0,4,2,0,5,2,0,6,0,0,2,0,0,0,0,0,0,0,0,NA
"108-119",227,198,258,168,144,195,81,64,99,37,26,50,4,1,8,2,0,6,2,0,5,0,0,0,0,0,0,0,0,0,0,0,NA
"120-131",201,174,230,132,111,156,33,22,45,24,15,35,7,3,13,4,1,9,1,0,4,0,0,0,0,0,0,0,0,0,0,0,NA
"132-143",189,163,216,75,59,93,24,15,35,22,13,32,6,2,12,3,1,6,1,0,4,0,0,0,0,0,0,0,0,NA,0,0,NA
"144-155",211,183,240,65,51,82,28,18,39,18,10,27,7,3,13,2,0,4,1,0,4,0,0,0,0,0,0,0,0,NA,0,0,NA
"156-167",198,172,227,82,65,101,27,17,38,7,4,11,7,3,14,3,0,7,1,0,4,0,0,1,0,0,0,0,0,NA,0,0,NA
"168-179",93,76,111,46,36,59,13,7,21,1,0,3,3,1,7,2,1,6,0,0,1,0,0,1,0,0,NA,0,0,NA,0,0,NA
"180-191",11,7,18,2,0,6,3,1,6,1,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA
"192-203",1,0,5,1,0,4,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA
"204-",0,0,2,1,0,4,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
