"","2002 BaseMiss","2002 lci","2002 uci","2003 BaseMiss","2003 lci","2003 uci","2004 BaseMiss","2004 lci","2004 uci","2005 BaseMiss","2005 lci","2005 uci","2006 BaseMiss","2006 lci","2006 uci","2007 BaseMiss","2007 lci","2007 uci","2008 BaseMiss","2008 lci","2008 uci","2009 BaseMiss","2009 lci","2009 uci","2010 BaseMiss","2010 lci","2010 uci","2011 BaseMiss","2011 lci","2011 uci","2012 BaseMiss","2012 lci","2012 uci"
"0-23",3,2,4,1,0,2,1,0,1,0,0,1,0,0,1,0,0,0,2,0,7,1,0,4,0,0,3,0,0,2,0,0,1
"24-29",22,16,30,3,1,6,6,3,10,2,0,4,1,0,3,1,0,2,2,0,4,1,0,3,0,0,2,0,0,1,0,0,1
"30-35",26,19,35,3,1,6,7,3,11,2,0,4,1,0,4,1,0,2,2,0,4,1,0,3,0,0,2,0,0,1,0,0,1
"36-47",66,51,83,21,15,27,28,19,39,8,4,14,6,2,11,3,1,7,2,0,6,1,0,4,1,0,3,0,0,2,0,0,1
"48-59",87,69,106,60,46,76,51,38,66,21,13,31,10,4,17,5,2,10,3,1,7,1,0,4,1,0,3,0,0,2,0,0,1
"60-71",122,101,145,82,65,100,53,39,68,34,24,47,15,8,23,7,3,13,4,1,9,2,0,5,1,0,4,0,0,2,0,0,2
"72-83",124,103,146,94,76,114,50,37,65,47,34,61,19,12,29,8,3,14,5,2,11,2,0,5,1,0,4,1,0,3,0,0,2
"84-95",99,80,120,73,57,90,62,47,78,52,39,67,23,15,33,9,4,16,5,2,11,2,0,5,2,0,5,1,0,3,0,0,2
"96-107",99,81,120,29,19,40,36,28,45,30,22,38,23,15,34,10,5,17,4,1,9,2,0,6,2,0,5,1,0,3,0,0,2
"108-119",95,76,115,10,6,15,7,4,11,6,3,10,18,11,27,8,4,15,4,1,9,3,0,7,1,0,5,1,0,3,0,0,2
"120-131",74,58,91,17,12,22,18,11,28,10,4,17,11,6,18,5,2,10,4,1,9,2,0,6,1,0,4,1,0,3,0,0,2
"132-143",32,24,41,42,30,56,18,10,27,4,2,7,6,2,12,5,1,10,3,1,7,2,0,5,1,0,4,1,0,3,0,0,2
"144-155",0,0,0,44,32,59,14,8,23,7,4,11,5,2,10,4,0,9,3,0,7,2,0,5,1,0,4,1,0,3,0,0,2
"156-167",0,0,0,21,15,28,13,7,21,16,9,25,4,1,8,2,0,4,2,0,6,1,0,4,1,0,3,0,0,2,0,0,2
"168-179",0,0,0,2,1,5,6,3,10,10,6,15,2,0,5,0,0,1,1,0,4,1,0,2,0,0,2,0,0,1,0,0,1
"180-191",1,0,2,2,0,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"192-203",0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"204-",1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
