"","2003 BaseMiss","2003 lci","2003 uci","2004 BaseMiss","2004 lci","2004 uci","2005 BaseMiss","2005 lci","2005 uci","2006 BaseMiss","2006 lci","2006 uci","2007 BaseMiss","2007 lci","2007 uci","2008 BaseMiss","2008 lci","2008 uci","2009 BaseMiss","2009 lci","2009 uci","2010 BaseMiss","2010 lci","2010 uci","2011 BaseMiss","2011 lci","2011 uci","2012 BaseMiss","2012 lci","2012 uci"
"0-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,1,0,0,0
"24-29",1,0,2,0,0,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"30-35",1,0,2,1,0,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"36-47",2,0,6,2,0,5,1,0,3,1,0,3,0,0,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0
"48-59",4,1,9,3,1,7,2,0,5,1,0,4,1,0,3,0,0,2,0,0,2,0,0,1,0,0,1,0,0,0
"60-71",6,2,12,4,1,9,3,0,6,2,0,5,1,0,4,1,0,3,0,0,2,0,0,1,0,0,1,0,0,1
"72-83",11,5,18,5,2,11,3,1,8,1,0,5,1,0,4,1,0,3,0,0,2,0,0,2,0,0,1,0,0,1
"84-95",15,8,24,7,3,12,4,1,8,3,1,7,1,0,4,1,0,3,0,0,2,0,0,2,0,0,1,0,0,1
"96-107",13,7,20,6,2,12,5,2,10,4,1,8,1,0,5,1,0,3,0,0,2,0,0,2,0,0,1,0,0,1
"108-119",6,2,11,4,1,9,6,2,12,3,1,8,1,0,5,1,0,3,0,0,2,0,0,2,0,0,1,0,0,1
"120-131",4,1,9,6,2,12,4,1,9,2,0,6,1,0,4,1,0,3,1,0,3,0,0,2,0,0,1,0,0,1
"132-143",3,1,7,7,3,14,1,0,4,1,0,4,1,0,3,1,0,3,0,0,2,0,0,1,0,0,1,0,0,1
"144-155",2,0,6,4,1,8,1,0,3,1,0,3,1,0,4,1,0,3,0,0,2,0,0,2,0,0,1,0,0,1
"156-167",2,0,5,1,0,3,0,0,2,1,0,3,1,0,3,0,0,2,0,0,2,0,0,1,0,0,1,0,0,1
"168-179",1,0,3,1,0,2,0,0,0,0,0,2,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"180-191",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"192-203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"204-",0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA
