"","HS detected","HS detected 2.5th","HS detected 97.5th","ES detected","ES detected 2.5th","ES detected 97.5th","HS infected","HS infected 2.5th","HS infected 97.5th","ES infected","ES infected 2.5th","ES infected 97.5th","HS missed","HS missed 2.5th","HS missed 97.5th","ES missed","ES missed 2.5th","ES missed 97.5th"
"0-23","  0","  0","  0","  0","  0","  0","0.036","1.6e-38","0.32","0.00037","  0","NA","0","0","0","0","0","NA"
"24-29","  0","  0","  0","  0","  0","  0","0.024","5.4e-38","0.27","0.0013","  0","NA","0","0","0","0","0","NA"
"30-35","  0","  0","  0","  0","  0","  0","0.024","4.8e-38","0.26","0.0013","  0","NA","0","0","0","0","0","NA"
"36-47","8.8e-08","  0","NA","1.9e-09","  0","NA","0.022","1.9e-64","0.23","0.00091","  0","NA","0","0","NA","0","0","NA"
"48-59","1.7e-06","  0","NA","3.1e-08","  0","NA","0.033","3.2e-39","0.37","0.00065","  0","NA","0","0","NA","0","0","NA"
"60-71","0.00032","  0","NA","4e-06","  0","NA","0.051","1.9e-27","0.57","0.00076","  0","NA","0","0","NA","0","0","NA"
"72-83","0.0013","  0","NA","1.4e-05","  0","NA","0.067","7.2e-23","0.73","0.00073","  0","NA","0","0","NA","0","0","NA"
"84-95","0.0022","  0","NA","2e-05","  0","NA","0.077","5.1e-21","0.81","0.00073","  0","NA","0","0","NA","0","0","NA"
"96-107","0.002","  0","NA","1.8e-05","  0","NA","0.08","8e-21","0.84","0.00075","  0","NA","0","0","NA","0","0","NA"
"108-119","0.0014","  0","NA","1.2e-05","  0","NA","0.074","2.4e-21","0.79","0.00068","  0","NA","0","0","NA","0","0","NA"
"120-131","0.00076","  0","NA","6.8e-06","  0","NA","0.063","5.8e-25","0.69","0.00056","  0","NA","0","0","NA","0","0","NA"
"132-143","0.00039","  0","NA","3.4e-06","  0","NA","0.054","2.1e-29","0.6","0.00046","  0","NA","0","0","NA","0","0","NA"
"144-155","0.00022","  0","NA","1.7e-06","  0","NA","0.056","2.7e-26","0.63","0.00043","  0","NA","0","0","NA","0","0","NA"
"156-167","0.00013","  0","NA","8.4e-07","  0","NA","0.053","3.2e-26","0.59","0.00034","  0","NA","0","0","NA","0","0","NA"
"168-179","3.5e-05","  0","NA","2e-07","  0","NA","0.024","1.1e-41","0.25","0.00013","  0","NA","0","0","NA","0","0","NA"
"180-191","2.2e-06","  0","NA","7.6e-09","  0","NA","0.0029","  0","NA","1.1e-05","  0","NA","0","0","NA","0","0","NA"
"192-203","1.8e-07","  0","NA","6.2e-09","  0","NA","0.00045","  0","NA","2.6e-05","  0","NA","0","0","NA","0","0","NA"
"204-","8.9e-09","  0","NA","7.5e-09","  0","NA","4.8e-05","  0","NA","4.3e-05","  0","NA","0","0","NA","0","0","NA"
"p1","1.8e-09","  0","NA","2.1e-09","  0","NA","1.6e-05","  0","NA","1.9e-05","  0","NA","0","0","NA","0","0","NA"
"p2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","0","0","0","0","0","0"
"p3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","0","0","0","0","0","0"
"p4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","0","0","0","0","0","0"
"p5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","0","0","0","0","0","0"
"p6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","0","0","0","0","0","0"
